,Artists,Songs,Rating,Votes,Difficulty,Chords
49,adele,someone like you,4.84,9411,novice,"['G', 'C', 'Am', 'D', 'Bm', 'Em']"
50,misc cartoons,frozen let it go,4.79,3823,intermediate,"['Bm7', 'Asus4', 'Em7', 'C', 'Am', 'G', 'D', 'Dsus4/F#', 'Cadd9', 'A', 'Em', 'Cm', 'Bb']"
51,rihanna,stay,4.84,4639,novice,"['Am7/G', 'C', 'Am', 'G', 'Dm', 'F', 'Em']"
52,a great big world,say something,4.83,5966,novice,"['Asus4', 'D/A', 'G', 'Gsus2', 'D', 'Dmaj7/F#', 'Bm']"
53,misc soundtrack,a star is born shallow,4.87,15587,novice,"['Em7', 'G', 'C', 'Am', 'D', 'Bm', 'D/F#', 'Am/G', 'Cadd9', 'A', 'Em']"
54,creedence clearwater revival,have you ever seen the rain,4.83,10661,novice,"['C', 'Am', 'G', 'C/B', 'F/C', 'F', 'Am/G']"
55,james blunt,youre beautiful,4.79,2892,novice,"['Em7', 'G', 'G/F#', 'D/F#', 'Cadd9']"
56,adele,when we were young,4.87,6490,novice,"['C', 'Am', 'C/B', 'C/E', 'G', 'F', 'Dm', 'Fm', 'C/G', 'G/Ab', 'Gsus4', 'Em']"
57,the beatles,yesterday,4.80,4147,,"['Em7', 'C', 'G7', 'Gm', 'F', 'Dm', 'Dm/C', 'C7', 'A7', 'Bb']"
58,the lumineers,ho hey,4.81,5304,novice,"['C', 'G', 'Am', 'Ho', 'F', 'Gsus']"
59,sam smith,im not the only one,4.84,4474,intermediate,"['C', 'Bb/C', 'F', 'Dm', 'A', 'Bb']"
60,james arthur,say you wont let go,4.87,8888,,"['G', 'C', 'Em', 'D']"
61,pnk,just give me a reason,4.73,2406,novice,"['Dsus4', 'C', 'Am', 'G', 'D', 'A/C#', 'Bm', 'D/F#', 'Am7', 'G/B', 'Em']"
62,foster the people,pumped up kicks,4.87,3404,intermediate,"['Fm', 'Ab', 'Eb', 'Bb']"
63,death cab for cutie,i will follow you into the dark,4.91,7926,novice,"['C', 'Am', 'G', 'E', 'F', 'Am/G', 'Fm', 'C/G', 'Am/E', 'G/B']"
64,don mclean,american pie,4.87,8533,novice,"['Em7', 'G', 'Am', 'C', 'D', 'D7', 'D/F#', 'A7', 'Am7', 'G/B', 'Em', 'Cm']"
65,bon iver,skinny love,4.74,2887,novice,"['C', 'Am', 'C/B', 'D6sus2', 'G', 'F', 'Fmaj7/C']"
66,the script,the man who cant be moved,4.80,2104,intermediate,"['G', 'C', 'Am', 'D', 'D/F#', 'Em']"
67,the cranberries,zombie,4.84,8441,novice,"['C', 'D/F#', 'Em', 'G']"
68,oasis,wonderwall,4.75,3275,novice,"['G', 'C', 'D', 'A7sus4', 'Em']"
69,mumford sons,little lion man,4.85,3334,novice,"['C', 'Am', 'G', 'F', 'Fmaj7']"
70,john denver,take me home country roads,4.86,9602,novice,"['G', 'C', 'D', 'D7', 'F', 'Em']"
71,kings of leon,use somebody,4.80,2097,,"['C', 'Am', 'C/E', 'D', 'F#', 'F']"
72,david guetta,titanium,4.85,4757,novice,"['Asus2', 'C', 'Am', 'G', 'F', 'Em']"
73,armada,harusnya aku,4.82,200,,"['C', 'G', 'Am', 'F', 'Dm', 'Em']"
74,lewis capaldi,someone you loved,4.88,12118,novice,"['C', 'Am', 'G', 'Dm', 'F']"
75,gotye,somebody that i used to know,4.74,2381,novice,"['G', 'Am', 'F']"
76,green day,21 guns,4.81,1992,novice,"['D5', 'A5', 'C', 'C/E', 'F', 'Dm', 'C5', 'A', 'Bb5', 'F5', 'Bb']"
77,misc soundtrack,a star is born shallow,4.85,9037,novice,"['G', 'C', 'Am', 'D', 'Bm', 'A', 'Em']"
78,ed sheeran,shape of you,4.83,1317,novice,"['G', 'Bm', 'A', 'Em']"
79,of monsters and men,little talks,4.88,5002,novice,"['C', 'Am', 'G', 'F', 'Fmaj7']"
80,adele,make you feel my love,4.88,6615,,"['G', 'C', 'D', 'D7', 'F', 'B7', 'C/D', 'A7', 'Cm']"
81,train,drops of jupiter,4.82,4432,,"['C', 'G', 'D', 'F', 'Dm', 'Bb']"
82,shawn mendes,stitches,4.79,2115,,"['G', 'Am', 'C', 'F']"
83,jeff buckley,hallelujah,4.84,4017,novice,"['G', 'C', 'D', 'D/F#', 'B7', 'Em']"
84,jason mraz,lucky,4.80,2268,,"['Dm7', 'G#dim', 'C', 'Am', 'G', 'C/B', 'Am7', 'E7', 'Gsus4', 'Em']"
85,jeff buckley,hallelujah,4.81,2853,novice,"['G', 'C', 'D', 'B7', 'Em']"
86,secondhand serenade,fall for you,4.90,2400,novice,"['F', 'Am', 'G', 'C']"
87,radiohead,karma police,4.89,5590,novice,"['G', 'Am', 'C', 'C/B', 'D', 'F#7', 'G/F#', 'E', 'F', 'Bm', 'D/F#', 'Em']"
88,fiersa besari,waktu yang salah,4.81,318,,"['G', 'Am', 'C', 'E', 'D', 'Dm', 'Bm', 'C/D', 'Em', 'Cm']"
89,calum scott,you are the reason,4.87,4636,novice,"['G', 'C', 'D', 'Em', 'Cm']"
90,bob marley,redemption song,4.84,4585,novice,"['Em7', 'G', 'C', 'Am', 'C/B', 'D', 'Am6', 'Am7', 'G/B', 'Em']"
91,bob dylan,knockin on heavens door,4.84,7371,novice,"['G', 'Am', 'D', 'C']"
92,david guetta,titanium,4.38,1310,,"['C', 'Am', 'G', 'F', 'G/B', 'Em']"
93,frank sinatra,fly me to the moon,4.83,5548,novice,"['Dm7', 'Cmaj7', 'Am', 'C', 'E', 'G7', 'G', 'F', 'Dm', 'E7', 'Fm', 'A7', 'Em']"
94,tab,759809,4.86,2799,,"['G', 'Am', 'Em', 'C']"
95,cat stevens,father and son,4.84,8482,novice,"['G', 'C', 'Am', 'G/D', 'D', 'Bm', 'D/F#', 'C/G', 'Am7', 'Em']"
96,ed sheeran,the a team,4.86,2821,,"['G', 'C', 'Am', 'D', 'D/F#', 'Cadd9', 'Em']"
97,the neighbourhood,sweater weather,4.89,5795,novice,"['C', 'Am', 'G', 'D', 'Em']"
98,imagine dragons,demons,4.74,2369,,"['G', 'Bm', 'A', 'D']"
99,dolly parton,jolene,4.87,11557,novice,"['C', 'Am', 'Em', 'G']"
100,guns n roses,sweet child o mine,4.75,2173,,"['C', 'G', 'B', 'D', 'A', 'Em']"
101,ben e king,stand by me,4.76,2611,,"['A', 'E', 'D', 'F#m']"
102,4 non blondes,whats up,4.86,8099,novice,"['G', 'Am', 'C']"
103,magic,rude,4.77,2165,novice,"['C', 'G', 'D', 'G/B', 'Em']"
104,old crow medicine show,wagon wheel,4.87,6283,novice,"['G', 'C', 'Em', 'D']"
105,james bay,let it go,4.87,4302,novice,"['Em/C#', 'G', 'C', 'Am', 'D', 'Em']"
106,birdy,skinny love,4.84,3856,novice,"['C', 'Am', 'F', 'Dm', 'Em']"
107,hillsong united,oceans where feet may fail,4.88,3771,intermediate,"['G', 'Em/G', 'D', 'A/C#', 'Bm', 'A', 'Em']"
108,avicii,wake me up,4.67,1341,novice,"['G', 'Bm', 'A', 'D']"
109,bryan adams,heaven,4.81,2530,intermediate,"['Bb/A', 'C', 'Am', 'G', 'C/E', 'F', 'Dm', 'Gsus4', 'G/B', 'Bb']"
110,matt redman,10000 reasons bless the lord,4.86,4700,novice,"['Dsus4', 'C2', 'C', 'G', 'D', 'D/F#', 'C/G', 'Gsus4', 'Em']"
111,anji,menunggu kamu,4.87,472,novice,"['C', 'Am', 'G', 'B', 'F', 'Dm', 'E7', 'A', 'Em']"
112,a great big world,say something,4.85,3870,novice,"['C', 'Am', 'F', 'Gsus4', 'Em']"
113,gary jules,mad world,4.87,7286,novice,"['G', 'A', 'Em', 'D']"
114,elton john,your song,4.82,4569,,"['Em7', 'G', 'D', 'G6', 'A/C#', 'F#', 'Bm', 'F#m', 'Bm/A', 'A', 'Em', 'Gmaj7', 'Bm/G#']"
115,avenged sevenfold,so far away,4.90,2064,novice,"['G', 'C', 'Am', 'Em/G', 'D', 'E', 'Bm', 'D/F#', 'Em']"
116,ed sheeran,thinking out loud,4.85,3498,novice,"['C', 'G', 'Am', 'Dm', 'F', 'Am7']"
117,sixpence none the richer,kiss me,4.81,1419,,"['Bm7', 'Asus4', 'D/A', 'G', 'D', 'D7', 'Bm', 'D/C#', 'Dmaj7', 'Gmaj7', 'A', 'Em']"
118,taylor swift,teardrops on my guitar,4.88,2579,novice,"['G', 'C', 'Em', 'D']"
119,r e m ,losing my religion,4.82,3653,,"['Am/B', 'Am/C', 'G', 'Am', 'C', 'F', 'Dm', 'Am/D', 'Em']"
120,lukas graham,7 years,4.77,4081,novice,"['G', 'C', 'Cmaj7', 'D', 'Bm', 'D/F#', 'Em']"
121,queen,love of my life,4.84,5074,intermediate,"['G', 'B', 'E', 'D', 'Gm', 'Bm', 'E7', 'Cdim', 'F#m', 'A7', 'A', 'Em']"
122,train,hey soul sister,4.72,599,intermediate,"['A', 'B', 'C#m', 'E']"
123,bruno mars,it will rain,4.88,1836,novice,"['C', 'Am', 'G', 'Gsus2', 'Cmaj7', 'Dm', 'F', 'E7', 'Em']"
124,taylor swift,safe and sound,4.79,1626,novice,"['G', 'D', 'Bm', 'A', 'Em']"
125,bright eyes,first day of my life,4.88,4767,novice,"['Fsus2', 'C', 'Am', 'G', 'C/B', 'G7', 'D7', 'F', 'E7', 'Dsus2']"
126,taylor swift,i knew you were trouble,4.81,1471,novice,"['G', 'Bm', 'A', 'D']"
127,queen,bohemian rhapsody,4.80,2576,intermediate,"['F/G', 'Bbdim', 'D#7', 'G', 'C', 'Bbdim7', 'Am/F#', 'Em7', 'Gm/Bb', 'C#', 'C/E', 'D', 'E', 'F#', 'D7', 'F/C', 'D/F#', 'Am7', 'G/B', 'Em', 'A', 'Ab', 'Bb', 'Ddim/F', 'Am', 'B', 'G7', 'Fm', 'Am/G', 'D#', 'Am/E', 'G#m', 'Am/F', 'Dm7', 'G#', 'D7/A', 'D#dim', 'Dm', 'F', 'A#', 'Cdim', 'Am/G#', 'A7']"
128,tracy chapman,fast car,4.76,2919,intermediate,"['Cmaj7', 'C', 'G', 'D', 'Em']"
129,sia,chandelier,4.85,3206,novice,"['G', 'Am', 'C', 'C/E', 'F', 'Em']"
130,queen,bohemian rhapsody,4.80,1630,advanced,"['F7', 'F#7', 'Db/B', 'Gm', 'Bb7', 'Eaug', 'Bm', 'Gm7', 'C/G', 'B7', 'Eb', 'Ddim', 'Fm7', 'Abmaj7', 'Baug', 'D', 'Ab7', 'Dm7b5', 'F#dim', 'C7', 'Ab/Eb', 'D7', 'Bb/D', 'A', 'Ab', 'C#dim7', 'Bb', 'A7', 'B', 'F7/C', 'Gaug', 'Ab/Bb', 'Db7', 'Db/C', 'Fm', 'C7-9', 'Am7b5', 'Adim', 'Db/Ab', 'Gb7', 'Eb/G', 'Bdim7', 'Db', 'Eb/Bb', 'Abdim', 'Abm', 'Bbm/Db', 'Gb', 'Ebdim7', 'Ebdim', 'Eb7', 'F', 'E7', 'Cm7', 'Db/Bb', 'Cm']"
131,the beatles,let it be,4.79,1397,,"['C', 'Am', 'G', 'F6', 'E', 'D', 'F', 'Fmaj7', 'Am7']"
132,bruno mars,the lazy song,4.68,359,intermediate,"['B', 'E', 'F#', 'C#m', 'D#', 'G#m', 'D#m']"
133,jason mraz,im yours,4.69,1000,intermediate,"['B', 'E', 'F#', 'C#9/F', 'G#m']"
134,one direction,little things,4.81,2124,novice,"['G', 'C', 'Am', 'D', 'Em']"
135,simon garfunkel,the sound of silence,4.83,8961,novice,"['G', 'Am', 'C/B', 'C', 'F']"
136,red hot chili peppers,californication,4.84,3319,,"['G', 'Am', 'C', 'E', 'D', 'F', 'Dm', 'Bm', 'Fmaj7', 'F#m', 'A']"
137,justin bieber,baby,3.88,558,,"['C', 'Am', 'G', 'F']"
138,coldplay,yellow,4.84,7427,novice,"['Dm7', 'G', 'C', 'Cmaj7', 'D', 'Em']"
139,journey,dont stop believin,4.78,3068,novice,"['B', 'E', 'C#m', 'G#m', 'A']"
140,taylor swift,blank space,4.81,1774,,"['G', 'D', 'A7sus4', 'Bm', 'A', 'Em']"
141,sam smith,too good at goodbyes,4.86,3495,novice,"['C', 'Am', 'Dm', 'G']"
142,lady antebellum,need you now,4.76,1623,novice,"['C', 'Am', 'G', 'F', 'Gsus', 'G/B', 'Em']"
143,ed sheeran,give me love,4.86,2289,novice,"['Bmaj7', 'B7+', 'B', 'E', 'F#', 'C#m', 'G#m', 'B5', 'G#m7']"
144,bastille,pompeii,4.87,4321,novice,"['C', 'Em', 'D', 'G']"
145,aerosmith,i dont want to miss a thing,4.65,955,novice,"['G', 'C', 'D', 'F', 'Bm', 'Dm', 'F#m', 'A', 'Em', 'Bb']"
146,bruno mars,the lazy song,4.79,1251,,"['G', 'C', 'Am', 'D', 'Bm', 'B7', 'Em']"
147,maroon 5,payphone,4.52,334,intermediate,"['Dsus4', 'G', 'C', 'D', 'Cadd9', 'Em']"
